gX,gZ,gY,aX,aZ,aY,p1,p2,p3
-80.25,-26.66,17.36,0.22,0.03,0.82,608,2202,626
-82.37,-26.34,18.51,0.20,0.06,0.77,609,2203,626
-84.06,-25.26,16.57,0.11,0.07,0.75,607,2203,627
-85.27,-23.66,13.48,0.10,0.09,0.73,607,2202,625
-85.83,-21.55,11.67,0.09,0.12,0.71,610,2202,626
-83.39,-6.56,-4.76,-0.06,0.25,0.71,608,2202,625
-82.48,-3.12,-9.39,-0.05,0.28,0.72,619,2202,627
-81.25,0.02,-14.30,-0.05,0.31,0.72,608,2203,625
-79.71,3.32,-18.39,-0.03,0.31,0.71,607,2203,625
-78.05,6.08,-21.00,0.01,0.37,0.72,610,2202,624
-76.92,8.48,-23.98,0.01,0.37,0.74,610,2202,624
-76.41,9.55,-29.34,-0.02,0.34,0.77,611,2202,626
-72.80,11.00,-24.70,0.14,0.54,0.85,610,2201,627
-73.32,9.95,-23.55,0.17,0.57,0.90,613,2201,624
-74.19,11.06,-16.91,0.18,0.62,0.90,609,2203,627
-75.97,10.83,-19.48,0.18,0.59,0.95,611,2202,626
-78.12,10.59,-15.81,0.20,0.60,0.96,611,2201,624
-79.82,9.41,-15.03,0.15,0.59,0.97,611,2204,625
-83.03,8.39,-11.72,0.19,0.64,1.00,614,2203,626
-99.85,6.86,-0.35,0.16,0.67,1.01,616,2205,627
-100.58,6.50,8.23,0.26,0.74,1.02,615,2204,624
-107.16,6.02,1.41,0.06,0.67,1.01,615,2202,627
-110.05,4.53,1.50,0.06,0.68,1.01,614,2202,627
-113.56,4.39,1.56,0.15,0.72,1.00,614,2202,626
-115.44,3.90,5.04,0.15,0.69,0.95,613,2202,624
-117.61,3.47,4.69,0.11,0.69,0.94,611,2203,631
1.48,12.10,-26.91,0.04,0.99,0.06,626,2126,998
-1.28,13.00,-24.42,0.09,1.02,0.05,625,2125,999
-3.68,14.60,-20.13,0.14,1.04,0.04,629,2123,998
-7.94,15.37,-17.89,0.12,1.02,0.06,624,2123,998
-11.54,16.53,-15.71,0.14,1.00,0.06,627,2123,998
-14.83,16.95,-12.03,0.19,1.00,0.07,625,2123,1001
-18.90,16.60,-8.74,0.20,1.00,0.09,627,2123,999
-36.12,12.50,17.23,0.35,0.98,0.13,625,2122,998
-40.81,11.34,27.16,0.35,0.99,0.13,628,2123,997
-45.06,10.34,34.49,0.34,1.03,0.13,625,2123,999
-48.92,10.11,41.65,0.30,1.00,0.10,625,2126,997
-53.01,9.63,46.00,0.16,0.97,0.23,625,2124,997
-58.87,6.89,42.02,0.18,0.87,0.15,624,2125,999
-62.23,4.57,42.37,0.13,0.91,0.10,623,2122,998
-76.86,-8.83,58.26,-0.21,0.85,-0.11,621,2111,998
-70.28,-8.57,59.24,0.04,1.00,-0.21,622,2105,1001
-68.81,-5.61,64.84,0.09,1.09,-0.18,620,2098,1001
-68.37,-2.80,64.25,-0.03,1.07,-0.16,621,2094,998
-68.25,0.82,61.29,-0.13,0.92,-0.17,620,2083,999
-71.77,-0.48,45.56,-0.34,0.87,0.10,621,2080,999
-74.34,-1.67,25.42,-0.40,0.82,-0.03,619,2067,997
-86.84,-7.82,86.97,0.07,0.95,0.36,613,2015,999
-93.96,-10.01,78.58,-0.38,0.89,0.05,615,2002,999
-81.74,-3.60,66.65,-0.58,1.10,-0.44,615,1993,998
-84.06,-10.85,22.40,-1.58,0.73,-0.18,615,1978,995
-77.32,-6.69,36.02,0.42,1.23,-0.10,615,1969,989
-84.29,-12.95,24.06,-0.43,0.90,0.27,618,1959,983
-95.10,-14.42,30.78,-0.02,0.78,0.19,613,1943,975
-100.61,-18.62,-39.84,-0.23,1.11,0.21,615,1890,901
-108.03,-25.27,-32.82,0.14,0.83,-0.03,615,1874,886
-79.85,-6.54,-17.06,0.49,0.40,-0.92,617,1869,870
-82.34,-1.60,1.48,-0.04,0.73,-0.25,618,1856,858
-76.75,-6.62,-37.39,-0.54,0.74,-0.15,613,1854,848
-73.45,-6.95,-53.75,-0.22,1.10,-0.23,614,1833,836
-67.64,-4.28,-31.54,-0.29,0.97,-0.31,615,1798,781
-68.16,-1.87,-40.23,-0.28,1.03,-0.17,612,1792,766
-71.54,-1.03,-44.99,-0.07,0.98,-0.03,615,1785,749
-73.28,-1.85,-43.87,-0.12,0.86,-0.24,614,1786,734
-67.19,-2.13,-47.86,-0.18,0.90,-0.20,617,1769,718
-67.07,-1.87,-61.28,-0.21,0.93,-0.23,614,1767,707
-59.54,2.54,-50.73,0.11,0.95,-0.19,608,1747,654
-54.08,1.37,-44.01,-0.04,0.96,-0.26,608,1747,640
-55.53,2.18,-36.53,0.11,1.04,-0.35,606,1749,624
-60.12,-6.45,-48.27,-0.24,0.78,-0.07,607,1749,610
-58.03,-9.99,-38.94,-0.14,0.95,-0.35,609,1749,605
-52.95,-14.07,-49.48,-0.19,0.97,-0.32,607,1749,592
-45.82,-14.40,-48.38,0.01,1.06,-0.50,608,1749,588
4.75,-32.51,-54.24,0.21,1.26,-0.41,606,1749,575
18.36,-39.03,-60.21,-0.26,1.06,-0.69,605,1746,574
34.84,-58.54,-84.53,-0.75,0.95,-0.26,608,1748,575
82.20,-57.21,-80.67,0.09,1.32,-1.85,608,1754,573
111.66,-59.09,-59.86,0.38,1.60,-0.29,609,1792,574
106.67,-94.40,-74.82,-1.00,1.13,-0.64,607,1821,576
270.88,-163.52,-177.11,-1.12,1.50,-1.47,602,1961,574
307.36,-181.12,-205.48,-0.80,1.28,-1.29,598,1990,571
339.26,-195.35,-229.98,-0.61,1.28,-1.13,597,2015,575
