gX,gZ,gY,aX,aZ,aY,p1,p2,p3
-258.75,-222.40,-194.64,0.49,-0.43,0.66,1039,1714,1748
-265.37,-224.95,-237.62,-0.35,-0.35,1.41,1040,1717,1748
-249.62,-196.78,-217.43,0.08,-0.53,0.39,1040,1713,1746
-285.77,-164.26,-171.45,-0.14,-0.03,0.41,1040,1715,1750
-302.82,-155.50,-169.55,-0.57,0.06,0.80,1040,1715,1747
-301.37,-141.10,-163.77,-0.27,-0.03,0.36,1037,1715,1747
-312.06,-129.67,-161.31,-0.38,0.07,0.39,1040,1717,1748
-320.99,-116.87,-153.40,-0.51,0.11,0.38,1040,1714,1750
-362.43,-57.18,-106.75,-0.60,0.48,0.23,1046,1717,1753
-370.14,-41.74,-95.04,-0.81,0.53,0.15,1040,1716,1749
-376.50,-25.31,-80.82,-0.71,0.57,0.13,1040,1717,1750
-381.74,-8.57,-67.95,-0.84,0.64,0.08,1039,1717,1750
-386.87,8.50,-58.87,-0.88,0.65,0.06,1038,1714,1748
-394.84,23.28,-48.85,-0.94,0.68,0.18,1040,1716,1750
-378.84,92.79,18.67,-0.98,0.86,-0.47,1040,1716,1748
-375.62,108.29,33.12,-0.87,0.77,-0.46,1039,1713,1748
-370.84,122.32,45.36,-0.92,0.79,-0.56,1040,1713,1746
-361.76,137.68,51.62,-0.99,0.80,-0.74,1040,1715,1750
-347.43,155.51,64.11,-0.93,0.87,-0.82,1040,1715,1749
-265.72,231.75,105.67,-1.01,0.96,-1.01,1041,1714,1748
-247.97,244.50,110.06,-0.92,0.99,-1.02,1041,1714,1749
-238.75,256.96,112.95,-0.91,0.97,-0.92,1041,1717,1748
-220.84,266.35,121.77,-0.74,1.18,-1.16,1054,1715,1744
-196.05,269.45,131.06,-0.61,1.34,-1.03,1044,1714,1750
-138.99,260.30,136.31,-0.65,1.55,-0.43,1041,1715,1747
-128.38,254.00,123.51,-1.03,1.52,-0.58,1042,1715,1747
-111.82,252.11,128.14,-0.49,1.83,-0.73,1041,1719,1748
-97.04,245.45,124.81,-0.80,1.63,-0.50,1041,1717,1746
-90.90,232.30,116.06,-0.75,1.80,-0.43,1019,1715,1747
-46.92,166.12,11.99,-0.41,1.98,-0.59,1043,1715,1748
-27.82,161.72,-9.59,-0.42,1.87,-1.01,1046,1715,1745
-87.04,17.43,-125.30,-0.58,0.65,0.98,927,1840,1326
-96.17,18.30,-134.65,-0.59,0.63,0.96,925,1836,1325
-105.16,19.34,-150.20,-0.64,0.64,0.93,926,1837,1326
-114.29,19.43,-164.81,-0.66,0.61,0.92,923,1840,1323
-122.70,18.73,-180.30,-0.66,0.60,0.88,923,1840,1326
-129.74,17.14,-194.94,-0.54,0.60,0.90,925,1839,1323
-174.32,-1.47,-221.16,-0.19,0.57,0.82,927,1840,1321
-183.02,-1.96,-216.49,-0.12,0.67,0.77,926,1840,1324
-192.08,-2.87,-222.49,-0.32,0.58,0.77,924,1838,1316
-198.56,-3.54,-227.49,-0.20,0.65,0.72,923,1838,1319
-207.82,-5.27,-234.07,-0.24,0.59,0.74,923,1839,1321
-218.43,-5.04,-240.47,-0.19,0.59,0.70,925,1840,1321
-212.41,-8.51,-237.43,-0.10,0.60,0.45,927,1840,1322
-220.12,-10.34,-252.85,-0.23,0.51,0.42,926,1840,1321
-227.92,-7.85,-256.33,0.12,0.81,0.37,923,1840,1323
-235.63,0.11,-243.28,0.21,0.85,0.37,929,1840,1323
-234.12,11.28,-201.80,0.79,1.10,0.11,926,1840,1319
-235.88,21.68,-171.25,0.39,0.90,0.30,923,1840,1321
-276.52,44.33,-229.68,-0.31,0.48,0.55,927,1843,1319
-284.46,47.85,-229.07,0.06,0.43,0.41,926,1842,1321
-277.30,57.53,-194.44,0.50,0.89,0.11,928,1843,1322
-261.66,63.72,-157.81,0.50,0.99,0.05,927,1842,1322
-267.59,71.27,-134.75,0.27,0.80,0.16,928,1843,1323
-274.29,77.79,-116.30,0.29,0.83,0.24,928,1842,1322
-281.45,107.91,-138.38,-0.02,0.61,0.24,926,1842,1325
-286.03,112.76,-139.37,-0.13,0.67,0.12,926,1840,1328
-276.72,115.27,-124.13,0.25,0.92,-0.19,924,1841,1334
-281.89,110.46,-96.52,0.09,0.80,0.23,926,1840,1345
-282.21,112.08,-106.06,-0.21,0.89,-0.05,924,1840,1356
-259.97,164.20,-70.35,-0.27,0.93,-0.29,926,1841,1446
-254.40,178.96,-67.45,-0.23,0.96,-0.14,927,1842,1469
-241.22,195.54,-65.33,-0.40,1.05,-0.38,922,1840,1488
-232.32,211.57,-67.75,-0.38,1.04,-0.33,925,1840,1507
-209.05,230.44,-72.01,-0.41,1.29,-0.74,924,1840,1525
-128.76,260.66,-25.30,-0.15,1.20,-0.62,925,1841,1584
-96.56,273.54,-17.89,0.19,1.35,-0.87,926,1841,1594
-82.27,276.91,-10.20,0.10,1.42,-0.70,924,1842,1600
-67.40,267.95,-24.35,0.15,1.41,-1.03,926,1844,1600
-73.10,275.01,11.67,0.16,1.64,-0.51,924,1843,1607
-59.92,275.77,27.71,0.23,1.51,-0.52,923,1840,1614
-19.22,251.31,73.58,0.30,1.46,-0.21,925,1841,1619
-11.22,241.04,93.19,0.39,1.50,-0.15,924,1842,1625
-6.76,231.63,101.54,0.16,1.49,-0.10,923,1842,1630
-2.21,223.79,103.96,0.17,1.47,-0.15,927,1840,1629
9.27,217.19,115.13,0.31,1.57,-0.22,914,1841,1633
20.15,212.95,125.07,0.30,1.60,-0.23,928,1843,1629
90.14,208.27,152.63,0.33,1.65,-0.52,930,1841,1646
110.23,207.08,151.24,0.27,1.67,-0.54,923,1840,1648
132.02,207.51,140.23,0.08,1.66,-0.65,925,1840,1651
154.87,209.31,139.82,0.26,1.71,-0.76,927,1840,1655
178.78,210.72,132.64,0.19,1.75,-0.79,926,1840,1660
205.82,212.46,132.78,0.36,1.78,-0.85,926,1842,1663
306.55,217.39,75.24,0.20,1.66,-0.66,937,1843,1666
319.95,213.98,66.46,0.24,1.49,-0.54,926,1840,1673
337.44,210.81,46.77,0.10,1.46,-0.61,927,1841,1671
353.31,208.88,26.84,0.16,1.53,-0.51,925,1841,1674
361.74,205.79,5.79,0.09,1.52,-0.41,927,1847,1680
361.01,195.60,-13.45,0.25,1.46,-0.08,917,1842,1683
369.79,147.10,-65.49,0.25,1.49,-0.06,927,1840,1757
371.95,136.35,-132.26,-0.31,1.37,-0.10,926,1842,1771
384.72,112.15,-150.61,0.54,1.35,-0.57,928,1841,1783
403.91,85.36,-154.97,1.16,1.80,-0.20,926,1837,1797
411.41,93.71,-208.64,-0.66,1.20,-0.48,943,1840,1803
420.96,76.56,-234.18,0.79,1.17,-0.16,927,1839,1810
