gX,gZ,gY,aX,aZ,aY,p1,p2,p3
139.48,13.37,40.25,0.29,0.89,-0.63,976,1808,437
123.57,13.00,34.22,0.08,1.20,-0.15,976,1808,434
120.61,4.24,29.53,0.19,1.07,-0.33,976,1808,435
121.43,1.75,40.16,0.45,0.96,-0.43,977,1808,437
123.86,0.91,43.27,0.26,0.97,-0.56,976,1808,433
114.73,-1.72,21.32,0.07,0.80,-0.24,976,1808,434
114.13,-2.05,24.08,0.25,0.87,-0.35,977,1808,437
111.25,-0.34,20.34,0.15,0.85,-0.28,977,1809,435
109.62,1.05,18.10,0.20,0.84,-0.36,976,1808,435
107.28,1.29,14.61,0.18,0.81,-0.29,976,1808,434
108.10,4.18,15.90,0.40,0.84,-0.52,979,1809,433
103.68,1.18,8.00,0.01,0.83,-0.19,976,1808,435
82.35,-1.26,3.35,0.19,0.77,-0.20,976,1808,435
77.17,-1.90,0.72,0.18,0.73,-0.17,978,1808,433
73.65,-2.45,1.21,0.21,0.72,-0.18,976,1808,432
68.43,-3.84,1.03,0.18,0.75,-0.15,976,1809,436
62.46,-5.03,0.80,0.21,0.76,-0.12,976,1808,437
56.75,-5.96,4.22,0.25,0.78,-0.11,976,1808,435
50.38,-7.01,4.51,0.19,0.77,-0.08,976,1808,437
44.29,-7.56,3.41,0.19,0.81,-0.09,976,1808,436
23.97,-4.86,4.90,0.21,0.77,-0.20,976,1807,432
21.62,-4.11,5.48,0.21,0.76,-0.23,976,1807,438
20.75,-3.37,5.59,0.21,0.74,-0.26,976,1808,435
20.01,-2.95,5.93,0.21,0.74,-0.28,978,1808,434
20.21,-2.39,6.94,0.23,0.74,-0.31,976,1808,433
20.52,-1.87,7.24,0.21,0.76,-0.33,976,1808,438
-28.48,33.69,17.70,0.17,0.80,0.73,1083,2030,1056
-30.48,35.18,-2.32,-0.14,0.87,0.65,1083,2034,1056
-34.32,34.19,-9.26,0.19,0.88,0.64,1082,2047,1056
-35.67,32.74,-3.23,0.35,0.83,0.51,1079,2063,1057
-38.00,30.45,3.52,0.37,0.85,0.53,1078,2076,1058
-40.87,26.33,-0.06,0.14,0.72,0.53,1077,2088,1055
-36.48,22.50,9.70,0.38,0.84,0.29,1078,2101,1055
-33.85,-10.14,29.23,0.26,0.86,0.27,1075,2126,1056
-31.53,-14.79,16.81,-0.11,0.63,0.39,1075,2128,1054
-28.70,-15.56,0.97,-0.02,0.63,0.29,1078,2130,1057
-23.35,-15.52,-1.03,0.11,0.62,0.46,1079,2142,1056
-20.51,-16.71,23.38,0.61,0.82,0.45,1075,2145,1058
-15.13,-22.19,39.50,0.39,0.83,0.49,1079,2148,1058
-15.42,-32.54,73.48,0.14,0.87,0.65,1058,2150,1061
-17.03,-36.65,72.42,-0.03,0.85,0.64,1056,2146,1058
-18.45,-38.86,65.39,-0.06,0.74,0.58,1059,2148,1055
-19.65,-38.48,61.61,-0.01,0.79,0.56,1053,2149,1055
-19.67,-36.69,58.17,-0.07,0.81,0.54,1052,2151,1058
-19.39,-36.18,48.02,-0.19,0.80,0.56,1053,2150,1059
-26.25,-45.06,24.54,-0.22,0.87,0.59,1051,2151,1059
-27.38,-44.77,18.29,-0.20,0.81,0.54,1051,2150,1056
-27.01,-44.10,17.67,-0.06,0.83,0.49,1051,2151,1055
-24.99,-43.82,18.34,-0.08,0.87,0.45,1051,2151,1056
-28.43,-41.90,14.63,-0.11,0.79,0.48,1049,2151,1056
-29.90,-40.16,8.89,-0.13,0.84,0.40,1049,2153,1054
-22.41,-31.06,9.65,0.01,0.93,0.42,1045,2155,1055
-19.65,-31.53,14.28,0.05,0.94,0.40,1045,2154,1056
-19.91,-29.84,20.45,0.12,0.93,0.42,1045,2153,1056
-19.99,-24.45,29.18,0.11,0.92,0.35,1046,2154,1056
-17.90,-20.79,27.68,-0.04,0.89,0.39,1045,2154,1055
-14.87,-19.95,25.96,-0.05,0.89,0.39,1042,2155,1054
-6.90,-6.82,21.01,-0.02,0.85,0.43,1042,2155,1054
-6.87,-3.79,15.84,-0.16,0.81,0.40,1041,2151,1053
-5.54,-1.23,10.11,-0.13,0.87,0.38,1041,2149,1056
-5.53,1.31,7.10,-0.10,0.88,0.41,1040,2156,1067
-4.87,2.34,4.81,-0.13,0.86,0.44,1033,2155,1055
-3.82,0.86,8.63,0.05,1.01,0.48,1033,2154,1056
-2.02,-1.64,0.51,-0.37,0.81,0.43,1022,2154,1054
